Zygoptera,Hemiphlebiidae,Hemiphlebia,Hemiphlebia mirabilis
Zygoptera,Platystictidae,Drepanosticta,Drepanosticta misoolensis
Zygoptera,Platystictidae,Drepanosticta,Drepanosticta moluccana
Zygoptera,Platystictidae,Drepanosticta,Drepanosticta monoceros
Zygoptera,Platystictidae,Drepanosticta,Drepanosticta moorei
Zygoptera,Platystictidae,Drepanosticta,Drepanosticta mylitta
Zygoptera,Platystictidae,Drepanosticta,Drepanosticta myzouris
Zygoptera,Platystictidae,Drepanosticta,Drepanosticta obiensis
Zygoptera,Platystictidae,Drepanosticta,Drepanosticta palauensis
Zygoptera,Platystictidae,Drepanosticta,Drepanosticta pan
Zygoptera,Platystictidae,Drepanosticta,Drepanosticta penicillata
Zygoptera,Platystictidae,Drepanosticta,Drepanosticta philippa
Zygoptera,Platystictidae,Drepanosticta,Drepanosticta pistor
Zygoptera,Platystictidae,Drepanosticta,Drepanosticta polychromatica
Zygoptera,Platystictidae,Drepanosticta,Drepanosticta psygma
Zygoptera,Platystictidae,Drepanosticta,Drepanosticta pterophora
Zygoptera,Platystictidae,Drepanosticta,Drepanosticta pytho
Zygoptera,Platystictidae,Drepanosticta,Drepanosticta quadrata
Zygoptera,Platystictidae,Drepanosticta,Drepanosticta quadricornu
Zygoptera,Platystictidae,Drepanosticta,Drepanosticta rhamphis
Zygoptera,Platystictidae,Drepanosticta,Drepanosticta robusta
Zygoptera,Platystictidae,Drepanosticta,Drepanosticta rudicula
Zygoptera,Platystictidae,Drepanosticta,Drepanosticta rufostigma
Zygoptera,Platystictidae,Drepanosticta,Drepanosticta sbong
Zygoptera,Platystictidae,Drepanosticta,Drepanosticta sembilanensis
Zygoptera,Platystictidae,Drepanosticta,Drepanosticta sharpi
Zygoptera,Platystictidae,Drepanosticta,Drepanosticta siebersi
Zygoptera,Platystictidae,Drepanosticta,Drepanosticta silenus
Zygoptera,Platystictidae,Drepanosticta,Drepanosticta simuni
Zygoptera,Platystictidae,Drepanosticta,Drepanosticta siu
Zygoptera,Platystictidae,Drepanosticta,Drepanosticta spatulifera
Zygoptera,Platystictidae,Drepanosticta,Drepanosticta sugbo
Zygoptera,Platystictidae,Drepanosticta,Drepanosticta sumatrana
Zygoptera,Platystictidae,Drepanosticta,Drepanosticta sundana
Zygoptera,Platystictidae,Drepanosticta,Drepanosticta taurulus
Zygoptera,Platystictidae,Drepanosticta,Drepanosticta taurus
Zygoptera,Platystictidae,Drepanosticta,Drepanosticta tenella
Zygoptera,Platystictidae,Drepanosticta,Drepanosticta trachelocele
Zygoptera,Platystictidae,Drepanosticta,Drepanosticta trimaculata
Zygoptera,Platystictidae,Drepanosticta,Drepanosticta vietnamica
Zygoptera,Platystictidae,Drepanosticta,Drepanosticta viridis
Zygoptera,Platystictidae,Drepanosticta,Drepanosticta watuwilensis
Zygoptera,Platystictidae,Drepanosticta,Drepanosticta wildermuthi
Zygoptera,Platystictidae,Palaemnema,Palaemnema abbreviata
Zygoptera,Platystictidae,Palaemnema,Palaemnema angelina
Zygoptera,Platystictidae,Palaemnema,Palaemnema apicalis
Zygoptera,Platystictidae,Palaemnema,Palaemnema azupizui
Zygoptera,Platystictidae,Palaemnema,Palaemnema baltodanoi
Zygoptera,Platystictidae,Palaemnema,Palaemnema bilobulata
Zygoptera,Platystictidae,Palaemnema,Palaemnema brasiliensis
Zygoptera,Platystictidae,Palaemnema,Palaemnema brevignoni
Zygoptera,Platystictidae,Palaemnema,Palaemnema brucei
Zygoptera,Platystictidae,Palaemnema,Palaemnema brucelli
Zygoptera,Platystictidae,Palaemnema,Palaemnema carmelita
Zygoptera,Platystictidae,Palaemnema,Palaemnema chiriquita
Zygoptera,Platystictidae,Palaemnema,Palaemnema clementia
Zygoptera,Platystictidae,Palaemnema,Palaemnema collaris
Zygoptera,Platystictidae,Palaemnema,Palaemnema croceicauda
Zygoptera,Platystictidae,Palaemnema,Palaemnema cyclohamulata
Zygoptera,Platystictidae,Palaemnema,Palaemnema dentata
Zygoptera,Platystictidae,Palaemnema,Palaemnema desiderata
Zygoptera,Platystictidae,Palaemnema,Palaemnema distadens
Zygoptera,Platystictidae,Palaemnema,Palaemnema domina
Zygoptera,Platystictidae,Palaemnema,Palaemnema edmondi 
Zygoptera,Platystictidae,Palaemnema,Palaemnema gigantula
Zygoptera,Platystictidae,Palaemnema,Palaemnema joanetta
Zygoptera,Platystictidae,Palaemnema,Palaemnema lorena
Zygoptera,Platystictidae,Palaemnema,Palaemnema martini
Zygoptera,Platystictidae,Palaemnema,Palaemnema melanocauda
Zygoptera,Platystictidae,Palaemnema,Palaemnema melanostigma
Zygoptera,Platystictidae,Palaemnema,Palaemnema melanota
Zygoptera,Platystictidae,Palaemnema,Palaemnema melanura
Zygoptera,Platystictidae,Palaemnema,Palaemnema mutans
Zygoptera,Platystictidae,Palaemnema,Palaemnema nathalia
Zygoptera,Platystictidae,Palaemnema,Palaemnema orientalis
Zygoptera,Platystictidae,Palaemnema,Palaemnema paulicaxa
Zygoptera,Platystictidae,Palaemnema,Palaemnema paulicoba
Zygoptera,Platystictidae,Palaemnema,Palaemnema paulina
Zygoptera,Platystictidae,Palaemnema,Palaemnema paulirica
Zygoptera,Platystictidae,Palaemnema,Palaemnema paulitaba
Zygoptera,Platystictidae,Palaemnema,Palaemnema paulitoyaca
Zygoptera,Platystictidae,Palaemnema,Palaemnema peruviana
Zygoptera,Platystictidae,Palaemnema,Palaemnema picicaudata
Zygoptera,Platystictidae,Palaemnema,Palaemnema reventazoni
Zygoptera,Platystictidae,Palaemnema,Palaemnema spinulata
Zygoptera,Platystictidae,Palaemnema,Palaemnema tepuica
Zygoptera,Platystictidae,Platysticta,Platysticta apicalis
Zygoptera,Platystictidae,Platysticta,Platysticta deccanensis
Zygoptera,Platystictidae,Platysticta,Platysticta maculata
Zygoptera,Platystictidae,Protosticta,Protosticta antelopoides
Zygoptera,Platystictidae,Protosticta,Protosticta beaumonti
Zygoptera,Platystictidae,Protosticta,Protosticta bivittata
Zygoptera,Platystictidae,Protosticta,Protosticta caroli
Zygoptera,Platystictidae,Protosticta,Protosticta coomansi
Zygoptera,Platystictidae,Protosticta,Protosticta curiosa
Zygoptera,Platystictidae,Protosticta,Protosticta damacornu
Zygoptera,Platystictidae,Protosticta,Protosticta davenporti
Zygoptera,Platystictidae,Protosticta,Protosticta foersteri
Zygoptera,Platystictidae,Protosticta,Protosticta fraseri
Zygoptera,Platystictidae,Protosticta,Protosticta geijskesi
Zygoptera,Platystictidae,Protosticta,Protosticta gracilis
Zygoptera,Platystictidae,Protosticta,Protosticta grandis
Zygoptera,Platystictidae,Protosticta,Protosticta gravelyi
Zygoptera,Platystictidae,Protosticta,Protosticta hearseyi
Zygoptera,Platystictidae,Protosticta,Protosticta himalaiaca
Zygoptera,Platystictidae,Protosticta,Protosticta khaosoidaoensis 
Zygoptera,Platystictidae,Protosticta,Protosticta kiautai
Zygoptera,Platystictidae,Protosticta,Protosticta kinabaluensis
Zygoptera,Platystictidae,Protosticta,Protosticta lepteca
Zygoptera,Platystictidae,Protosticta,Protosticta linduensis
Zygoptera,Platystictidae,Protosticta,Protosticta linnaei
Zygoptera,Platystictidae,Protosticta,Protosticta marenae
Zygoptera,Platystictidae,Protosticta,Protosticta maurenbrecheri
Zygoptera,Platystictidae,Protosticta,Protosticta medusa
Zygoptera,Platystictidae,Protosticta,Protosticta pariwonoi
Zygoptera,Platystictidae,Protosticta,Protosticta plicata
Zygoptera,Platystictidae,Protosticta,Protosticta reslae
Zygoptera,Platystictidae,Protosticta,Protosticta robusta
Zygoptera,Platystictidae,Protosticta,Protosticta rozendalorum
Zygoptera,Platystictidae,Protosticta,Protosticta rufostigma
Zygoptera,Platystictidae,Protosticta,Protosticta sanguinostigma
Zygoptera,Platystictidae,Protosticta,Protosticta satoi
Zygoptera,Platystictidae,Protosticta,Protosticta simplicinervis
Zygoptera,Platystictidae,Protosticta,Protosticta taipokauensis
Zygoptera,Platystictidae,Protosticta,Protosticta trilobata
Zygoptera,Platystictidae,Protosticta,Protosticta uncata
Zygoptera,Platystictidae,Protosticta,Protosticta vanderstarrei
Zygoptera,Platystictidae,Protosticta,Protosticta versicolor
Zygoptera,Platystictidae,Protosticta,Protosticta zhengi
Zygoptera,Platystictidae,Sinosticta,Sinosticta debra
Zygoptera,Platystictidae,Sinosticta,Sinosticta hainanense
Zygoptera,Platystictidae,Sinosticta,Sinosticta ogatai
Zygoptera,Platystictidae,Sinosticta,Sinosticta sylvatica
Zygoptera,Platystictidae,Sulcosticta,Sulcosticta pallida
Zygoptera,Platystictidae,Sulcosticta,Sulcosticta sierramadrensis
Zygoptera,Platystictidae,Sulcosticta,Sulcosticta striata
Zygoptera,Platystictidae,Sulcosticta,Sulcosticta vantoli
Zygoptera,Platystictidae,Sulcosticta,Sulcosticta viticula
Zygoptera,Platystictidae,Telosticta,Telosticta belalongensis
Zygoptera,Platystictidae,Telosticta,Telosticta berawan
Zygoptera,Platystictidae,Telosticta,Telosticta bidayuh
Zygoptera,Platystictidae,Telosticta,Telosticta dayak
Zygoptera,Platystictidae,Telosticta,Telosticta dupophila
Zygoptera,Platystictidae,Telosticta,Telosticta feronia
Zygoptera,Platystictidae,Telosticta,Telosticta gading
Zygoptera,Platystictidae,Telosticta,Telosticta iban
Zygoptera,Platystictidae,Telosticta,Telosticta janeus
Zygoptera,Platystictidae,Telosticta,Telosticta kajang
Zygoptera,Platystictidae,Telosticta,Telosticta longigaster
Zygoptera,Platystictidae,Telosticta,Telosticta paruatia
Zygoptera,Platystictidae,Telosticta,Telosticta santubong
Zygoptera,Platystictidae,Telosticta,Telosticta serapi
Zygoptera,Platystictidae,Telosticta,Telosticta tubau
Zygoptera,Platystictidae,Telosticta,Telosticta ulubaram
Zygoptera,Amphipterygidae,Amphipteryx,Amphipteryx agrioides
